_id,chart,coordinates,depth,feature_type,gp_quality,history,latdec,londec,quasou,recrd,sounding_type,vesslterms,watlev
578f6fa2df35c7fbdbaed8c4,"US,U1,graph,DNC H1409860","[-79.9081268,9.3547792]",0,Wrecks - Visible,,,9.3547792,-79.9081268,,,,,always dry
578f6fa2df35c7fbdbaed8c5,"US,U1,graph,DNC H1409860","[-79.9357223,9.3340302]",0,Wrecks - Visible,,,9.3340302,-79.9357223,,,,,always dry
578f6fa2df35c7fbdbaed8c6,"US,U1,graph,DNC H1409860","[-79.9074173,9.3560572]",0,"Wrecks - Submerged, dangerous",,,9.3560572,-79.9074173,depth unknown,,,,always under water/submerged
578f6fa2df35c7fbdbaed8c7,"US,U1,graph,DNC H1409860","[-79.9137115,9.3390503]",0,Wrecks - Visible,,,9.3390503,-79.9137115,,,,,always dry
578f6fa2df35c7fbdbaed8c8,"US,U1,graph,DNC H1409860","[-79.9103851,9.3418808]",0,"Wrecks - Submerged, dangerous",,,9.3418808,-79.9103851,depth unknown,,,,always under water/submerged
578f6fa2df35c7fbdbaed8c9,"US,U1,graph,DNC H1409860","[-79.9361496,9.3314219]",0,"Wrecks - Submerged, dangerous",,,9.3314219,-79.9361496,depth unknown,,,,always under water/submerged
578f6fa2df35c7fbdbaed8ca,"US,US,reprt,L-1083/14","[-79.940556,9.3641392]",0,Wrecks - Visible,,,9.3641392,-79.940556,,,,,always dry
578f6fa2df35c7fbdbaed8cb,"US,US,reprt,L-1-2015","[-79.9005833,9.3723889]",2.2,"Wrecks - Submerged, dangerous",,,9.3723889,-79.9005833,,,,,always under water/submerged
578f6fa2df35c7fbdbaed8cc,"US,US,reprt,L-1-2015","[-79.9005,9.3751667]",4,"Wrecks - Submerged, dangerous",,,9.3751667,-79.9005,,,,,always under water/submerged
578f6fa2df35c7fbdbaed8cd,"US,US,reprt,L-1-2015","[-79.9081389,9.3601389]",0,Wrecks - Visible,,,9.3601389,-79.9081389,,,,,always dry
578f6fa2df35c7fbdbaed8ce,"US,U1,graph,DNC H1409860","[-79.9469681,9.3729954]",0,Wrecks - Visible,,,9.3729954,-79.9469681,,,,,always dry
578f6fa2df35c7fbdbaed8cf,"US,US,reprt,L-1-2015","[-79.9089722,9.3560556]",2.5,"Wrecks - Submerged, dangerous",,,9.3560556,-79.9089722,,,,,always under water/submerged
578f6fa2df35c7fbdbaed8d0,"US,US,reprt,L-1-2015","[-79.9084167,9.3549722]",0,Wrecks - Visible,,,9.3549722,-79.9084167,,,,,always dry
578f6fa2df35c7fbdbaed8d1,"US,US,reprt,L-781/15","[-79.9196389,9.4007778]",15.1,"Wrecks - Submerged, dangerous",,,9.4007778,-79.9196389,,,,,always under water/submerged
578f6fa2df35c7fbdbaed8d2,"US,US,reprt,L-781/15","[-79.93025,9.4171667]",30.3,"Wrecks - Submerged, nondangerous",,,9.4171667,-79.93025,,,,,always under water/submerged
578f6fa2df35c7fbdbaed8d3,"US,US,reprt,L-781/15","[-79.9283333,9.4187222]",32,"Wrecks - Submerged, nondangerous",,,9.4187222,-79.9283333,,,,,always under water/submerged
578f6fa2df35c7fbdbaed8d4,"US,US,reprt,DD-26697","[-79.9229861,9.3958694]",12.3,"Wrecks - Submerged, dangerous",,,9.3958694,-79.9229861,,,,,always under water/submerged
578f6fa2df35c7fbdbaed8d5,"US,US,reprt,DD-26697","[-79.909247,9.394889]",12.1,"Wrecks - Submerged, dangerous",,,9.394889,-79.909247,,,,,always under water/submerged
578f6fa2df35c7fbdbaed8d6,"US,US,reprt,L-1218/15","[-79.0378342,9.5690002]",0,Wrecks - Visible,,,9.5690002,-79.0378342,,,,,always dry
578f6fa2df35c7fbdbaed8d7,"US,US,reprt,L-1218/15","[-78.8790131,9.5574865]",0,Wrecks - Visible,,,9.5574865,-78.8790131,,,,,always dry
578f6fa2df35c7fbdbaed8d8,"US,US,reprt,L-1218/15","[-78.943573,9.5544777]",0,Wrecks - Visible,,,9.5544777,-78.943573,,,,,always dry
578f6fa2df35c7fbdbaed8d9,"US,US,reprt,L-1453/14","[-72.5419922,18.2312794]",0,Wrecks - Visible,,,18.2312794,-72.5419922,,,,,always dry
578f6fa2df35c7fbdbaed8da,"US,US,reprt,L-1453/14","[-72.5341797,18.2282791]",0,Wrecks - Visible,,,18.2282791,-72.5341797,,,,,always dry
578f6fa2df35c7fbdbaed8db,"US,US,reprt,L-1453/14","[-72.5329208,18.2261219]",0,Wrecks - Visible,,,18.2261219,-72.5329208,,,,,always dry
578f6fa2df35c7fbdbaed8dc,"US,US,reprt,L-246-2015","[-73.7465439,18.1898632]",0,Wrecks - Visible,,,18.1898632,-73.7465439,,,,,always dry
578f6fa2df35c7fbdbaed8dd,"US,US,reprt,L-246-2015","[-73.7449264,18.1843109]",0,Wrecks - Visible,,,18.1843109,-73.7449264,,,,,always dry
578f6fa2df35c7fbdbaed8de,"US,US,reprt,L-1453/14","[-72.3630676,18.53689]",0,"Wrecks - Submerged, dangerous",,,18.53689,-72.3630676,,,,,always under water/submerged
578f6fa2df35c7fbdbaed8df,"US,US,reprt,L-1453/14","[-72.3792343,18.5343819]",0,Wrecks - Visible,,4 wrecks,18.5343819,-72.3792343,,,,,always dry
578f6fa2df35c7fbdbaed8e0,"US,US,reprt,L-1453/14","[-72.3866577,18.5800037]",0,Wrecks - Visible,,,18.5800037,-72.3866577,,,,,always dry
578f6fa2df35c7fbdbaed8e1,"US,US,reprt,L-1453/14","[-72.4051361,18.5628262]",18.7,"Wrecks - Submerged, dangerous",,,18.5628262,-72.4051361,,,,,always under water/submerged
578f6fa2df35c7fbdbaed8e2,"US,US,reprt,L-1453/14","[-72.3600616,18.5600472]",0,Wrecks - Visible,,2 wrecks,18.5600472,-72.3600616,,,,,always dry
578f6fa2df35c7fbdbaed8e3,"US,US,reprt,L-1453/14","[-72.3545532,18.5549297]",0,"Wrecks - Submerged, dangerous",,more than one,18.5549297,-72.3545532,,,,,always under water/submerged
578f6fa2df35c7fbdbaed8e4,"US,US,reprt,L-1453/14","[-72.3890228,18.5439014]",0,Wrecks - Visible,,,18.5439014,-72.3890228,,,,,always dry
578f6fa2df35c7fbdbaed8e5,"US,US,reprt,L-1453/14","[-72.3885879,18.5443325]",0,Wrecks - Visible,,,18.5443325,-72.3885879,,,,,always dry
578f6fa2df35c7fbdbaed8e6,"US,US,reprt,L-1453/14","[-72.3946228,18.547678]",0,Wrecks - Visible,,,18.547678,-72.3946228,,,,,always dry
578f6fa2df35c7fbdbaed8e7,"US,US,reprt,L-1453/14","[-72.4106674,18.5881729]",0,Wrecks - Visible,,,18.5881729,-72.4106674,,,,,always dry
578f6fa2df35c7fbdbaed8e8,"US,US,reprt,L-1453/14","[-72.396492,18.5937481]",0,Wrecks - Visible,,,18.5937481,-72.396492,,,,,always dry
578f6fa2df35c7fbdbaed8e9,"US,US,reprt,L-1453/14","[-72.3938522,18.5926552]",0,Wrecks - Visible,,,18.5926552,-72.3938522,,,,,always dry
578f6fa2df35c7fbdbaed8ea,"US,US,reprt,L-1453/14","[-72.3883438,18.581707]",0,Wrecks - Visible,,,18.581707,-72.3883438,,,,,always dry
578f6fa2df35c7fbdbaed8eb,"US,US,reprt,L-1453/14","[-72.348053,18.5553036]",0,Wrecks - Visible,,,18.5553036,-72.348053,,,,,always dry
578f6fa2df35c7fbdbaed8ec,"US,US,reprt,L-1453/14","[-72.3525848,18.5640431]",0,Wrecks - Visible,,,18.5640431,-72.3525848,,,,,always dry
578f6fa2df35c7fbdbaed8ed,"US,US,reprt,L-1453/14","[-72.3526001,18.5644321]",0,Wrecks - Visible,,,18.5644321,-72.3526001,,,,,always dry
578f6fa2df35c7fbdbaed8ee,"US,US,reprt,L-1453/14","[-72.3523407,18.5648041]",0,Wrecks - Visible,,,18.5648041,-72.3523407,,,,,always dry
578f6fa2df35c7fbdbaed8ef,"US,US,reprt,L-1453/14","[-72.3520813,18.5649262]",0,Wrecks - Visible,,,18.5649262,-72.3520813,,,,,always dry
578f6fa2df35c7fbdbaed8f0,"US,US,reprt,L-1453/14","[-72.3516617,18.5645046]",0,Wrecks - Visible,,,18.5645046,-72.3516617,,,,,always dry
578f6fa2df35c7fbdbaed8f1,"US,US,reprt,L-1453/14","[-72.3570557,18.5693398]",0,Wrecks - Visible,,,18.5693398,-72.3570557,,,,,always dry
578f6fa2df35c7fbdbaed8f2,"US,US,reprt,L-1453/14","[-72.7045822,19.1051006]",0,Wrecks - Visible,,,19.1051006,-72.7045822,,,,,always dry
578f6fa2df35c7fbdbaed8f3,"US,US,reprt,L-1453/14","[-72.7002716,19.1230888]",0.3,"Wrecks - Submerged, dangerous",,,19.1230888,-72.7002716,,,,,always under water/submerged
578f6fa2df35c7fbdbaed8f4,"US,US,reprt,L-1453/14","[-72.7012787,19.4533711]",0,Wrecks - Visible,,wrecks,19.4533711,-72.7012787,,,,,always dry
578f6fa2df35c7fbdbaed8f5,"US,US,reprt,L-1453/14","[-72.7024383,19.4500485]",0,Wrecks - Visible,,,19.4500485,-72.7024383,,,,,always dry
