_id,airTemperature.quality,airTemperature.value,atmosphericPressureChange.quantity24Hours,atmosphericPressureChange.quantity3Hours,atmosphericPressureChange.tendency,atmosphericPressureObservation.altimeterSetting,atmosphericPressureObservation.stationPressure,callLetters,dataSource,dewPoint.quality,dewPoint.value,elevation,pastWeatherObservationManual,position.coordinates,position.type,precipitationEstimatedObservation.discrepancy,precipitationEstimatedObservation.estimatedWaterDepth,presentWeatherObservationManual,pressure.quality,pressure.value,qualityControlProcess,seaSurfaceTemperature.quality,seaSurfaceTemperature.value,sections,skyCondition.cavok,skyCondition.ceilingHeight,skyConditionObservation.highCloudGenus,skyConditionObservation.lowCloudGenus,skyConditionObservation.lowestCloudBaseHeight,skyConditionObservation.lowestCloudCoverage,skyConditionObservation.midCloudGenus,skyConditionObservation.totalCoverage,skyCoverLayer,st,ts,type,visibility.distance,visibility.variability,waveMeasurement.method,waveMeasurement.seaState,waveMeasurement.waves,wind.direction,wind.speed,wind.type
5553a998e4b02cf7151190b8,1,-3.1,,,,,,VCSZ,4,9,999.9,9999,,"[-47.9,47.6]",Point,2,999,,1,1015.3,V020,,,"[""AG1""]",N,,,,,,,,,x+47600-047900,1984-03-05T13:00:00.000Z,FM-13,,,,,,,,9
5553a998e4b02cf7151190b9,1,-4.7,,,,,,VC81,4,9,999.9,9999,,"[-66.5,45.2]",Point,2,999,,1,1025.9,V020,,,"[""AG1""]",N,,,,,,,,,x+45200-066500,1984-03-05T14:00:00.000Z,FM-13,,,,,,,,9
5553a998e4b02cf7151190ba,1,4.4,,,,,,PLAT,4,1,3.5,9999,,"[3.6,51.9]",Point,2,999,,1,1030.8,V020,9,4.5,"[""AG1"",""MD1"",""OA1"",""SA1"",""UA1""]",N,,,,,,,,,x+51900+003600,1984-03-05T14:00:00.000Z,FM-13,,,I,,,,,N
5553a998e4b02cf7151190bb,1,7.5,,,,,,TFRB,4,9,999.9,9999,"[{""atmosphericCondition"":{""value"":""0"",""quality"":""1""},""period"":{""value"":3,""quality"":""1""}}]","[-5.3,60.9]",Point,2,0,"[{""condition"":""02"",""quality"":""1""}]",1,1018.5,V020,,,"[""AG1"",""AY1"",""GF1"",""MW1""]",N,,,,,,,,,x+60900-005300,1984-03-05T15:00:00.000Z,FM-13,,,,,,,,N
5553a998e4b02cf7151190bc,1,0.4,,,,,,TFBY,4,9,999.9,9999,"[{""atmosphericCondition"":{""value"":""0"",""quality"":""1""},""period"":{""value"":3,""quality"":""1""}}]","[-25.2,66.3]",Point,2,0,"[{""condition"":""02"",""quality"":""1""}]",1,1003.6,V020,,,"[""AG1"",""AY1"",""GF1"",""MW1""]",N,,,,,,,,,x+66300-025200,1984-03-05T15:00:00.000Z,FM-13,,,,,,,,N
5553a998e4b02cf7151190bd,1,3.1,,,,,,TFWB,4,9,999.9,9999,"[{""atmosphericCondition"":{""value"":""0"",""quality"":""1""},""period"":{""value"":3,""quality"":""1""}}]","[-29.7,59.8]",Point,1,0,"[{""condition"":""02"",""quality"":""1""}]",1,1019,V020,,,"[""AG1"",""AY1"",""GF1"",""MW1""]",N,,,,,,,,,x+59800-029700,1984-03-05T15:00:00.000Z,FM-13,,,,,,,,N
5553a998e4b02cf7151190be,1,-26.7,,,,,,EMIO,4,1,-29.8,9999,"[{""atmosphericCondition"":{""value"":""7"",""quality"":""1""},""period"":{""value"":3,""quality"":""1""}}]","[-172,79.8]",Point,2,1,"[{""condition"":""71"",""quality"":""1""}]",1,1016.6,V020,,,"[""AG1"",""AY1"",""GF1"",""MA1"",""MD1"",""MW1""]",N,,,,,,,,,x+79800-172000,1984-03-05T15:00:00.000Z,FM-13,,,,,,,,N
5553a998e4b02cf7151190bf,1,-5.1,,,,,,SCGB,4,9,999.9,9999,"[{""atmosphericCondition"":{""value"":""0"",""quality"":""1""},""period"":{""value"":3,""quality"":""1""}}]","[-55.9,49.7]",Point,2,0,"[{""condition"":""02"",""quality"":""1""}]",1,1020.8,V020,,,"[""AG1"",""AY1"",""GF1"",""MD1"",""MW1""]",N,,,,,,,,,x+49700-055900,1984-03-05T15:00:00.000Z,FM-13,,,,,,,,N
5553a998e4b02cf7151190c0,1,6.3,,,,,,PLAT,4,9,999.9,9999,"[{""atmosphericCondition"":{""value"":""0"",""quality"":""1""},""period"":{""value"":3,""quality"":""1""}}]","[1.5,59.5]",Point,2,0,"[{""condition"":""02"",""quality"":""1""}]",1,1026.1,V020,,,"[""AG1"",""AY1"",""GF1"",""MW1"",""OA1"",""UA1""]",N,,,,,,,,,x+59500+001500,1984-03-05T15:00:00.000Z,FM-13,,,M,,,,,N
5553a998e4b02cf7151190c1,1,6.6,,,,,,OWXP,4,1,4.4,9999,"[{""atmosphericCondition"":{""value"":""1"",""quality"":""1""},""period"":{""value"":3,""quality"":""1""}}]","[4.8,55.6]",Point,2,0,"[{""condition"":""01"",""quality"":""1""}]",1,1033.4,V020,9,3.5,"[""AG1"",""AY1"",""GF1"",""MD1"",""MW1"",""SA1"",""UA1""]",N,,,,,,,,,x+55600+004800,1984-03-05T15:00:00.000Z,FM-13,,,M,,,,,N
